place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,이용가능시설,시설이용료,접근로,출입통로,review,체험가능 연령,화장실,입장료,장애인 주차 안내,엘리베이터,유모차,수유실,휠체어,지정현황,주차요금,이용요금,주요시설,대중 교통,지체장애 기타 상세,판매 품목,관람석,점자 홍보물,오디오 가이드,주차 요금,객실수,예약안내,예약안내 홈페이지,청각 장애 기타상세,시각장애 기타상세,개장기간,규모,이용 시기,수용인원,영업시간,대표메뉴,취급메뉴,대여안내,보유장비,부대시설,보조견 동반,점자 블록,안내 요원,코스안내,할인 정보,수화 안내,자막 비디오 가이드,입실시간,퇴실시간,객실내 취사 여부,바비큐장여부,세미나실 여부,객실유형,입점브랜드,식음료장,객실,유도안내 설비,영유아가족 기타상세,체험
인천대공원 너나들이캠핑장,"인천대공원에 위치한 너나들이 캠핑장은 공원 속에 위치하여 자연 녹지가 많고 그늘이 많아 쾌적하다. 인천 도심과 가까워 이용이 편리하며 관모산으로 둘러싸인 대공원의 모든 편의시설은 물론 인근 청소년 수련관 프로그램도 이용할 수 있다.
인천대공원 1주차장에 주차하고 들어오면 캠핑존이 시작된다. 입구에는 매점이 있어 캠핑에 필요한 물품들을 구매할 수 있다. 캠핑장은 캐빈텐트존/그늘막캐빈텐트존/몽골텐트존/자가텐트존/피크닉존으로 구성되어 있으며 그늘막은 현장에서 추가가 가능하다.
주변에 농구장, 족구장, 휴게소, 샤워실, 음수대 등 편의시설들이 잘 관리가 되어있고 불편사항은 관리사무소로 연락하면 바로 응대해준다. 예약 문의는 인터파크에서 가능하다. 피크닉존은 예약 없이 선착순이며 그늘막은 의무적으로 사용해야한다.",,https://itour.incheon.go.kr,인천광역시 남동구 무네미로 238 인천대공원,"당일 피크닉 구역 : 10:00~22:00
캐빈·몽골 텐트 구역 : 11:00~익일10:00
자가 텐트 구역 : 14:00~익일13:00",동절기(12월 1일~2월 말),"인천대공원 제1공영주차장
유료(종일 3,000원)",,,,,"캠핑장 예약이 생각보다.. 치열했습니다..! 여름엔 에어컨 있는 몽골텐트 큰 것들이 인기가 많아 주말에는 금방 빠지더라구요. 시설이 아주 좋은 건 아니지만, 피크닉존이나 텐트존에서 하루 가볍게 노는 건 괜찮습니다. 샤워실과 화장실도 깨끗하구요. 주차는 가까이에 할 수 없어요. 입구에서 짐 내리고 따로 주차장에 주차하면 됩니다. 인천대공원 걷고 치유숲길도 둘러보면 딱입니다.",,남녀 구분(업소 내부 위치),,,,,,,,,"[입장료]
성인 4,000원(초등이상)
소인 2,000원(7~12세)
유아(만6세미만) 무료
[숙영존]
캐빈텐트:44,500원
그늘막텐트:70,000원
몽공텐트:50,000원
자가텐트:22,500원
[피크닉존]
피크닉장:한구역 당 20,000원+입장료 별도/10명
※ 자세한 사항은 홈페이지나 예약사이트 참조",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천대공원 어린이동물원,"인천대공원의 남문에 위치하고 있는 어린이동물원에는 37종 236마리의 동물이 살고 있다. 맹수류는 없고 토끼, 기니피그, 일본원숭이, 마모셋, 사막여우, 왈라루, 미어캣, 청금강앵무, 타조 등 주로 위험하지한 동물들 않고 순이 많다. 독수리나 수리부엉이처럼 천연기념물로 지정된 동물들도 있다. 각 동물들 앞에는 동물들의 특징이나 생김새를 어린이들이 이해하기 쉽게 적어놓은 안내문구들이 있어 동물을 이해하는데 도움을 주고있다.
동물원내에서는 정해진 시간에 일반인들을 대상으로 동물원 곳곳을 돌아다니며 설명해주는 해설 프로그램이 있으며, 안전과 동물들의 스트레스를 줄이기 위해 먹이주기 체험은 하지 않는다.",,http://www.incheon.go.kr,인천광역시 남동구 무네미로 236 인천대공원사업소,10:00~17:00,매주 월요일/1월 1일/설 및 추석 당일,,,,,,"공원 운영시간이랑 동물원 운영시간 다르니 확인해야하고 입장료 무료라서 좋아요! 생각보다 크고 볼거리도 많아요 좋습니다~ 인천 어린이 대공원 매우 넓어요 산책하기도 좋구 동물도 많아요 오랫만에 남편과함께 광복절휴일을 맞아 인천대공원에 놀러왔어오 폭염속에서도 어린이동물원에 타조를비롯해 조랑말부엉이등동물들도많고 볼거리도많고 아이들과 놀러오기너무좋아요^^ 대공원숲속개울숲발담그고너무시원해요ㅎㅎ 인천대공원에는 매년 벚꽃보러갑니다 휴일에는 사람을 보는건가 싶을 정도로 많지만 평일날가면 느긋하게 즐길수있어서 좋습니다 미취학 아이들이랑 가기 딱 좋은 규모입니다:) 작지만 알차서 좋아요. 인천사는데 좋아요 동물원도 보기 좋구요 아이들과 가기 진짜 좋은곳입니다~~~!! 벗꽃이 필때 가족이나 동료 친구랑 가기 참 좋아요, 예쁘고 야경도 좋고 넓어요. 근처 먹거리도 있어요, 주차도 좋은편",,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[해설프로그램]
10:30/13:30(우천시 취소)"
물텀벙 특화음식거리,"용현동에 위치한 물텀벙특화음식거리는 아귀 음식 전문점들이 모인 곳으로 용현 사거리에서 인하 대학교 쪽 길목에 위치해 있다. 이곳은 1999년에 특색 음식 거리로 지정되었으며 입구에 독특한 입간판이 설치되어 있다.
물텀벙이는 아귀를 지칭하는 별칭으로 과거에 아귀는 못생기고 덩치만 커 골칫거리 취급을 받았다. 어부들은 아귀가 그물에 걸리는 즉시 바다에 던져 버렸는데, 물에 빠질 때 ‘텀벙’하는 소리가 나 물텀벙이라 불렀다고 한다.
아귀가 맛있는 식재료로 등극한 건 6·25전쟁 이후부터다. 먹을 것이 귀했던 시절에 아귀는 동인천역 부근 근로자들의 값싼 안줏거리가 되었다. 이후 1970년대 용현동에 한 식당에서 아귀를 해장국처럼 끓여낸 음식이 인기를 끌면서 물텀벙이 음식점들이 늘어나기 시작했고 자연스럽게 용현물텀벙특화음식거리로 발전했다.물텀벙특화음식거리에서는 아귀를 찜과 탕은 물론 백숙과 지리로도 즐길 수 있다. 가장 많이 찾는 메뉴는 역시 아귀찜이다.",,https://itour.incheon.go.kr,인천광역시 미추홀구 용현동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천제일시장,"경인국도, 고속도로 진입로, 인천기계공업고등학교 쪽 도로에 삼각형 형태로 위치하는 제일시장은 오래된 전통시장으로 채소, 고기및 족발,닭강정등 생필품에서부터 주전부리까지 다양하게 판매하고 있다. 요즘은 시장 입구에 대형 할인마트가 생기고 주변에 주상복합 건물 등이 생기면서 시장의 기능이 점차 축소되고있는 분위기이다. 제일시장에서 유명한 곳은 돼지곱창식당들이다. 제일시장 안쪽으로 형성되어 있는 곱창골목은 방송에도 소개가 되고 인기가 많아 아직도 많은 이들이 찾고 있다. 예전만큼 식당이 많지는 않으나 남아있는 곱창집들의 맛이 소문나 멀리서도 찾아오는 이들이 많다.",,http://www.grandculture.net,인천광역시 미추홀구 도화동 430-3,점포별 상이,점포별 상이,불가능,,,,,,,,,,,,,,,,,,,,곡물 / 과일 / 채소 / 수산물 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국전통음식박물관,"상아산, 소래산, 관모산이 둘러싸인 곳에 한국전통음식박물관이 있다. 박물관은 전통공예문화를 직접 느끼고 체험하는 애보박물관과 함께 위치하고있다. 애보박물관 설립자가 전통 음식까지 많은 이들에게 소개하고자 한국전통음식박물관을 개관했다.
박물관에서는 음식 관련 다양한 체험을 즐길 수 있다. 장 담그기나 김치 담그기 같은 대표적인 전통 음식 만들기 체험부터 강정, 떡볶이, 오이소박이, 만두, 제철 과일청 등 간단 음식 또는 각종 떡 만들기 체험 프로그램도 참여 가능하다. 또한 한식에 국한하지 않고 오코노미야키, 토르티야 피자, 월남쌈 등 세계 각국의 음식도 체험 프로그램에 포함시켰다. 음식 만들기를 통해 우리 전통문화뿐 아니라 세계 여러 문화를 경험하는 시간을 가질 수 있다.",,https://blog.naver.com/kfoodmuseum,인천광역시 남동구 만의골로 71 인천공예미술박물관,09:30~18:00(입장마감:17:30),"매주 일요일, 1월 1일, 설·추석 연휴, 12월 25일 휴무",가능,,,,,,,,,,,,,,,,"성인 2500원 / 청소년 2000원 / 어린이 1500원
체험 프로그램 이용시 관람료 포함",,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[음식 만들기 체험]
※ 20이상 단체만 가능"
북성동 원조 자장면거리,"‘짜장면’은 인천이 만들어 낸 원조 가운데 전 국민적으로 전폭적인 사랑을 받고 있는 메뉴이다. 각종 중국요리와 한국식 짜장면이 정착한 한국짜장면 1번가인 인천 차이나타운은 우리나라에서 가장 역사가 깊은 중국인 거주지이다. 개항 이후 인천에 ‘청관거리’라는 청인 거주 지역이 생기고 공화춘, 중화루 등이 생기며 인천 부두 근로자들과 시민들을 상대로 싸고 손쉽게 먹을 수 있는 음식을 개발하게 되었다.
볶은 춘장에 국수를 비벼먹는 짜장면은 이렇게 탄생했다. 짜장면은 작장면이라는 한자를 우리말로 번역한 것인데 장을 볶아 말아올린 국수라는 뜻이다.
짜장면이라는 이름으로 음식을 처음 팔기 시작한 곳은 ‘공화춘(共和春)’으로 알려져 있다. 1905년 문을 열었던 이 집은 현재도 건물의 자취가 남아있고 2012년 ‘짜장면박물관’으로 조성되었다.",,https://itour.incheon.go.kr,인천광역시 중구 북성동2가,,점포마다 상이,,,,,, 인천 차이나타운은 몇번 왔다갔었는데 백짜장이 유명하다고해서 다시 방문해서 먹어봤습니다! 게살스프같은 소스에 면이 비벼져있는데 생각보다 괜찮더라구요 ! 처음먹어보는맛인데 신기하면서도 맛있게 먹었습니다 ~ 일반짜장면도 유니짜장맛이 나서 전체적으로 달달합니다 ㅎㅎ 다음에 또 오고싶네요! 차이나타운을 방문할 예정이라면 함께 둘러봐야할 코스 중 하나입니다! 음식점 외관이 독특해 구경하는 재미도 있습니다ㅎㅎ 설을 앞두고 커다란 홍등을 달고있는 차이나타운~ 홍등이 커서 사진도 잘나오고 귀여워요. 처음 가본 곳인데 볼거리가 정말 많아요!,,,,,,,,,,,,,,,,,,,,,,,,,,,상시,,,,,,,,,,,,,,,,,,,,,,,,,,
연락골 추어마을,"이곳은 옛적에 연락골이라 불렸던 농촌 마을이었으나 지금은 추어탕 전문점들이 모여 있는 곳으로 유명하다. 논농사를 주로 짓다 보니 미꾸라지가 많이 잡혀 마을에서 추어탕을 즐겨 먹기 시작한 것이 점차 입소문이 나 자연스럽게 추어탕 음식점들이 생겨나게 되었다. 처음에는 3~4 곳에 불과했지만 지금은 10여 곳이 넘는 음식점들이 자리해 있다.연락골추어마을은 2006년에 특색음식거리로 지정됐다.
이곳 추어탕은 고추장을 풀어 넣어 걸쭉하고 얼큰한 맛이 특징이다. 미꾸라지에 우거지나 시래기, 수제비 등을 넣고 푹 끓인 후 산초와 들깨가루, 부추를 듬뿍 넣어 먹으면 값비싼 보양식 못지않은 든든한 한 끼가 완성된다. 취향에 따라 미꾸라지를 통째로 넣어 먹을 수 있다.
주변에 인천대공원과 소래산, 애보박물관, 장수동 은행나무 등 명소들이 위치해 있다.",,https://itour.incheon.go.kr,인천광역시 남동구 운연동,점포마다 상이함,점포마다 상이함,가능(식당 앞 주차),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천치즈스쿨,"계양 경기장에 위치한 인천치즈스쿨은 다양한 체험활동이 가능한 체험학습장입니다. 주로 어린이와 단체를 대상으로 운영되며, 어린이들이 직접 손으로 치즈가 만들어지는 과정을 체험할 수 있습니다. 또한 치즈가 들어간 피자와 파스타 등 다양한 음식을 요리하고 시식함으로써 치즈에 대한 흥미를 높일 수 있는 체험의 장입니다. 중식으로는 자신이 만든 피자를 먹으며, 스파게티와 음료도 함께 제공됩니다. 치즈 만들기 체험 외에도 양궁, 뻥튀기 만들기, 투호, 굴렁쇠, 비눗방울, 워터건 체험 등 다양한 야외 활동이 마련되어 있어, 참가자들은 새로운 경험과 즐거움을 만끽할 수 있습니다.",,http://www.icheeseschool.co.kr,인천광역시 계양구 봉오대로 855 계양경기장,09:00-17:30,연중무휴,"가능
요금 (무료)",,"치즈피자체험 33,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참고",,,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,치즈피자체험
고씨딸기체험농원,"고씨농원은 인천에 있는 딸기농장으로 계양역 바로 앞에 위치해 있어 교통에 가장 편리한 농원 중 하나이다.
서울역에서 30분밖에 걸리지 않으며, 인천공항과 접해있어 외국여행객들에게도 인기가 좋다.
딸기수확체험뿐만 아니라 딸기를 이용한 간단한 먹거리(딸기에이드, 철판아이스크림, 딸기와플)를 직접 만들어 볼 수 있는 쿠킹체험프로그램들도 있어 남녀노소 즐길 거리가 가득하다. 방문을 원할경우 예약은 필수이다.",,▪ https://blog.naver.com/yongsic14,인천광역시 계양구 장제로1181번길 36,11:00-17:00 (예약필수),별도 공지,있음 (약 30대),,,,,,전연령 가능,,"- 딸기 수확체험(1kg기준)26,000~30,000원
- 딸기 디저트 만들기 (음료,와플,아이스크림 등)7,000~16,000원
- 딸기 화분만들기 7,000원
※ 자세한 사항은 전화문의",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"딸기수확체험, 딸기 철판아이스크림만들기, 딸기 컵케익만들기, 딸기라떼만들기 등"
아트센터인천,"송도국제도시에 세워진 아트센터 인천은 지휘자의 손짓에서 영감을 받아 설계된 글로벌 복합 문화공간이다. 독특한 외관과 바다를 잇는 전망, 세계적 수준의 음향시스템은 아트센터 인천이 단순한 공연장을 넘어 건축적으로도 의미 있음을 말해준다. 2018년 11월 제1단계로 콘서트홀을 개관하여 음악으로 세계와 소통하며 예술의 영역을 넓히고 있으며, 향후 뮤지엄과 오페라하우스를 갖춘 복합 문화예술공간이 되기 위한 2단계 사업을 추진하고 있다. 인천의 랜드마크로 떠오르고 있는 아트센터 인천은 지역의 문화 인프라를 견고하게 구축하고 시민들에게 독창적이고 폭넓은 문화예술 향유 기회를 제공할 예정이다.",,https://www.aci.or.kr/,인천광역시 연수구 아트센터대로 222 아트센터 인천(콘서트홀),,매주 월요일 (월요일이 공휴일인 경우 다음 날 휴무),"있음
요금 - 1시간 무료/이후 30분당 600원",,,,,,,,,,,,,,,,,,,,,,,,1시간 무료 / 30분 600원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"공연, 예술교육아카데미, 놀이방"
용트림 바위,"끊임없이 몰아치는 파도와 바닷바람을 이겨낸 해안절벽의 극히 일부가 살아남아 마치 몸을 뒤틀며 승천하는 용과 같은 형상을 보여준다. 용트림바위가 보이는 절벽의 우측으로 돌아가면 천연기념물 507호인 남포리 습곡이 나타난다. 이 남포리 습곡은 지층이 구부러지거나(습곡), 끊어진 곳(단층)이 있는데, 이 현상은 강한 힘이 이 지층에 작용하여 지층이 변형된 것이다. 이 남포리 습곡은 그 규모와 특이성으로 인하여 천연기념물로 지정되었다.",,https://www.ongjin.go.kr/open_content/tour/,인천광역시 옹진군 백령면 남포리,상시 개방,연중무휴,불가능,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진촌리 현무암,"옹진 백령도 진촌리 맨틀포획암 분포지는 백령면 진촌리에서 동쪽으로 1.3㎞ 정도 떨어진 해안에 있으며, 해안선을 따라 지름 5∼10㎝ 크기의 노란 감람암 덩어리가 들어있는 용암층이 만들어져 있다. 용암층은 두께가 10m 이상이며, 검은 현무암으로 이루어져 있다. 옹진 백령도 진촌리 맨틀포획암 분포지는 지구 속 수십 ㎞아래에서 만들어진 감람암이 용암이 분출할 때 함께 올라와 만들어진 것으로 지하 깊은 곳의 상태를 연구하는데 매우 중요한 자료가 된다. 우리나라에서 맨틀포획암이 분포하는 곳은 경기도 전곡, 평택 강원특별자치도 철원 일대, 울릉도 및 제주도에 국한되어 있다.

(출처 : 국가유산청)",,https://www.khs.go.kr/main.html,인천광역시 옹진군 백령면 진촌리,상시 개방,연중무휴,"가능
요금 (무료)",,,,,,,,무료,,,,,,천연기념물 옹진 백령도 진촌리 맨틀포획암 분포지 (1997.12.30 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
