place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,입장료,접근로,출입통로,장애인 주차 안내,화장실,엘리베이터,오디오 가이드,review,이용요금,휠체어,수유실,관람석,판매 품목,지정현황,이용가능시설,점자 홍보물,이용 시기,유모차,체험가능 연령,시각장애 기타상세,지체장애 기타 상세,주요시설,시설이용료,대중 교통,개장기간,부대시설,주차요금,규모,주차 요금,수용인원,입점브랜드,유아용보조의자,보조견 동반,점자 블록,안내 요원,보유장비,유도안내 설비,코스안내,자막 비디오 가이드,할인 정보,강습안내,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,객실,매표소,대여안내,영유아가족 기타상세,체험
해운대 블루라인파크,"해운대 블루라인파크는 해운대 미포, 청사포, 송정에 이르는 4.8km 구간의 동해남부선 옛 철도시설을 친환경적으로 재개발하여, 수려한 해안절경을 따라 해운대 해변열차와 해운대 스카이캡슐을 운행하는 국제 관광도시 부산, 해운대 관광특구의 핵심 관광 시설이다. 해운대 해변열차는 아름다운 동부산의 수려한 해안절경을 감상하면서 해운대 미포에서 청사포를 거쳐 송정까지 왕복으로 운행하는 교통수단을 겸비한 관광열차며, 해운대 스카이캡슐은 신비로운 해안절경을 7~10m 공중 레일에서 관람하면서 해운대 미포에서 청사포까지 2Km 구간을 자동으로 운행하는 낭만적인 4인승 캡슐이다.",,http://www.bluelinepark.com/,부산광역시 해운대구 청사포로 116 (중동),"09:00~19:30
※ 시설마다 상이하므로 홈페이지 참조",연중무휴,가능,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음(미포주차장)_무장애 편의시설,,,,,,,,,,,,,,,,,"* 전동휠체어 탑승 불가
* 수동휠체어는 도움을 받아 휠체어를 접어서 탑승가능
* 화장실은 공간이 좁아 사용이 어려움
* 간이 경사로(전동휠체어 불가)",,"[해변열차]
- 1회 탑승권 8,000원
- 2회 탑승권 12,000원
- 모든역 탑승권 16,000원
[스카이캡슐(편도)]
- 2인승 40,000원
- 3인승 45,000원
- 4인승 50,000원",,,,,,,,,,,점자블록 있음(주요시설 앞)_시각장애인 편의시설,안내요원 있음,,,,,,,,,,,,,,,,
금정선원,"1924년 금우(金牛) 스님에 의해 초창된 금정사는 고승대덕들이 왕래하며 머문 참선도량으로 푸른 선지를 휘날렸을 뿐 아니라 재가불자들의 참선수행을 위한 선원을 개설하는 등 정통선원으로 거듭나 있는 곳이다. 구전에 이곳이 절골이었다는 것으로 미루어 그 오랜 옛날에는 사찰이 있었던 자리였으리라 짐작하지만 전해오는 문헌이나 기록은 전무하다. 금정사는 짧은 역사에도 불구하고 한암, 효봉, 경봉, 성철, 석주스님 등 근대 한국불교계의 흔치 않은 큰 거목들이 두루 주석하던 유서 깊은 사찰이다. 이렇게 당대의 큰스님들이 한 절에 모인 예는 무척 드문 일로 1950년 한국전쟁 당시 합천 해인사의 가야총림이 문을 닫고 스님들이 남하하게 되자 그해 겨울 효봉 방장스님은 금정선원, 그리고 그 제자 구산스님은 진주 응석사에 주석하시면서 이 일대의 선풍이 드날리게 되는 계기가 되었다 한다. 또한 금정사는 근대 최초의 방생지로 유명한 곳이다. 예로부터 우리나라에는 전국에 걸쳐 많은 방생지가 있었는데 세월이 흐르면서 유명무실해지자 2004년 입적한 칠보사 조실 석주스님이 이곳에 절 마당을 파고 방생지를 설립, 그물이나 낚시로 인해 또다시 화를 입는 물고기들을 위한 회향터를 이루었다 하니 방생의 참뜻을 되짚어 보는 계기가 되기도 한다.",,,부산광역시 동래구 우장춘로 157-59 (온천동),상시 개방,연중무휴,불가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산엑스더스카이,"부산 엑스 더 스카이(BUSAN X the SKY)는 국내 두 번째 높이(411.6m)인 해운대 엘시티 랜드마크타워에 위치하고 있으며, 대한 8경에 빛나는 드넓은 해운대의 오션뷰와 부산의 화려한 시티뷰를 함께 조망할 수 있는 국내 최대 규모 전망대이다. 전망대 각 층마다 특화된 해운대 해변과 도시 야경, 광안대교, 부산항 대교, 이기대, 달맞이 고개, 동백섬 등 부산의 명소를 조망할 수 있는 파노라믹 오션뷰를 자랑한다. 편안한 휴식 공간을 제공하는 엑스 더 라운지, 하늘 위의 바다를 배경으로 특별한 기억을 기록하는 엑스 더 포토, 추억을 오래도록 간직할 수 있는 기념품숍 엑스 더 기프트 등 부산 엑스 더 스카이만의 특화된 서비스를 제공한다.",,http://www.busanxthesky.com,부산광역시 해운대구 달맞이길 30 엘시티 랜드마크타워 98~100F,10:00~21:00 (발권 마감 20:30),연중무휴,"가능
요금 (2시간 무료)","- 대인 (만 13세 이상) 27,000원
- 소인 (36개월 이상~만 12세 이하), 경로(만 65세 이상) 24,000원
- 36개월 미만 (증빙서류 지참 필요) 무료",출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함(자동문),장애인 주차장 있음_무장애 편의시설,장애인 화장실 있음,엘리베이터 있음,,,,대여가능(1층),수유실 있음(98층/여성휴게실),,,,,,,대여가능(1층),,,,,,,,,,,,,,,,점자블록 있음(주요시설 앞)_시각장애인 편의시설,안내요원 있음,,,,,,,,,,,,,,,,
마하사(부산),"대한불교 조계종 소속의 사찰인 마하사의 창건과 변천은 대웅전 상량문에 자세히 전하며, 아도 화상이 창건했다고 기록되어 있다. 임진왜란 때 사찰 건물이 모두 불탔고, 단계적으로 사찰이 복원되었다. 1970년 승려 문성이 대웅전·응진전·대방·요사·식당을 중건했고, 1985년 승려 지연이 종각을 세우고 반야암을 중창했으며, 1998년 승려 경민이 대웅전과 삼성각을 중건하였다. 마하사의 가람 배치는 산지 사찰이란 지형과 여러 차례의 개축 때문에 전통적인 가람 배치를 따르지 못했지만 좁은 경내를 잘 정리하고 있으며, 대웅전은 정면 5칸, 측면 3칸의 팔작지붕이다. 마하사 경내에는 문화유산으로 지정된 불상인 마하사 대웅전 석조석가여래삼존상과 마하사 응진전 석조나한상, 마하사 응진전 목조석가여래좌상, 불교 미술의 자랑인 마하사 영산회상도, 마하사 응진전 십육나한도, 마하사 응진전 영산회상도, 마하사 현왕도 등 많은 문화유산을 보존하고 있다.",,https://www.yeonje.go.kr,부산광역시 연제구 봉수로 138,상시 개방,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남선창고터,"남선창고터는 1900년 함경도에서 배로 물건을 싣고 와서 보관하던 최초의 물류 창고로, 초기에는 북선창고라 불리었으며 경부선을 통해 서울까지 물류를 운반하기 전에 보관하는 곳이었다. 이후 경원선이 생기면서 윗지방에 북선창고가 만들어지자 이름을 남선창고로 변경하였다. 부산 최초의 근대적 물류창고인 남선창고는 1900년 초량객주 정치국이 초량동에 세웠다. 냉동고가 없던 시절에 바닥에 수로를 만들어 물기를 제거하고 서늘하게 유지하는 방법을 사용했다. 바로 옆 옛 백제병원과는 달리 2009년에 철거되어 지금은 붉은 벽돌로 쌓은 담장만 남아있다. 해방 전까지는 주로 명태창고로 활용되어 일명 명태고방으로도 불렸다. 이후 부산산업경제 변화의 흐름을 타고 화공약품, 합판, 신발, 러시아 보따리 상인들의 짐, 가전제품 등을 위탁 보관하는 일반창고의 역할을 해 왔다.",,https://www.bsdonggu.go.kr,부산광역시 동구 초량로13번길 53 (초량동),상시 개방,연중무휴,불가능,무료,,,,있음,,,이바구길의 연장선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오랜지바다,"부산 광안리 바닷가에 있는 오랜지바다는 부산 지역 작가, 청년 작가, 마을 주민, 관광객 작가가 함께 관광기념품을 개발하여 판매하는 우수마을기업이다. 150여 명의 인재 작가들과 함께 만들어 온 오랜지바다만의 유니크한 디자인·수공예 기념품으로, 부산에 오면 꼭 들려야하는 기념품샵으로서의 입지를 굳히고 있다. 오랜지바다의 젊은 인재뱅크, 다양한 디자인과 생산방식 노하우를 통해 어떠한 주제에 대해서도 개성 있는 제품과 스토리를 만들어내고 있다.",,https://www.instagram.com/orangebada_pus,부산광역시 수영구 광안해변로 245-1 (민락동),"월~목요일 10:00 ~ 22:00 (12:30~13:30 휴게시간)
금~일요일 10:00 ~ 23:00 (12:30~13:30 휴게시간)",연중무휴,불가,,,,,,,,,,,,,기념품,,,,,,,,,,,,,,,"1층(2명), 2층(2명), 3층(5명)",,,,,,,,,,,,,,,,,,,,,,,
회동수원지 둘레길,"회동수원지는 부산광역시 금정구 회동동, 선동, 오륜동 등 5개 동에 인접한 도심 속 산중 지역에 위치하고 있는 부산시민의 상수원지이다. 회동수원지는 1930년대 말, 가뭄으로 인한 물 부족을 해소하기 위해 조성한 인공저수지다. 경상남도 양산시 원효산 남쪽 계곡에서 발원한 수영강이 철마천과 만나는 부산시 금정구 오륜동과 회동동에 걸쳐 있다. 1964년 상수원 보호구역으로 지정됐던 회동수원지 일대는 45년 만인 지난 2010년 일반에 개방됐다. 부산시 금정구청의 ‘인문학과 함께하는 땅뫼산 소풍여행’은 회동수원지를 따라 조성된 땅뫼산 황토숲길에서 진행된다. 생태의 보고로 불리는 땅뫼산 황토숲길은 상현마을에서 동천교를 잇는 부산갈맷길 8-1구간 가운데 풍광이 가장 아름다운 곳이다. 1km 남짓 이어지는 길은 오르내림 없이 평탄해 누구나 편하게 걸을 수 있다.",,▪ http://www.geumjeong.go.kr,부산광역시 금정구 개좌로 147 (회동동),,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,,,,곧곧 산책하기 좋은 둘레길 입니다:-) 가을 방문했는데 억새가 너무 이뻤습니당 ㅎㅎ 근처 오리고기 맛집들도 많아여 ㅎㅎ 선유도원카페에서 멋진 회동저수지 뷰를 보며 차와 디저트를 먹으며 데이트 시작~ㅎ 카페를 나온 후 바로 앞에 있는 회동수원지 둘레길을 걸으면서 포토존에서 사진을 찍으면 굿굿굿♡ 데이트코스로 좋아요 ! 추천합니다 반려견과 함께 황토길을 따라 가볍게 산책하기 좋은 곳 근처에 애견동반 가능한 오리고기집들도 있어서 식사까지 가능! 집근처라 자주 둘레길을 걷는데요. 저에겐 복이죠. 대도시에 살면서 이런 멋진 자연을 생각만 나면 갈 수 있으니까요. 많은분들도 힐링하셨으면 합니다. 여기 수원지 둘레길 아주 길답니다. 회동동에서 오륜 전망대까지 왕복 5km가 넘어요. 이건 전체 둘레길의 반도 안되는 거리니. 지금 정비 중에 있어서 새롭게 다듬어 질겁니다. 맨발 황토길. 대나무숲. 오륜 전망대 등. 먹거리도 있고 볼거리도 있어서 심심하진 않을 겁니다.,,,,,,,,,,,,,휠체어 진입가능한 나무데크 산책로 있음,,,,,,,,,,,,,,,,,"* A코스 : 상현마을 → 땅뫼산 수변데크
거리 : 4.8km
소요시간 : 1시간 10분

* B코스 : 땅뫼산 수변데크 → 동대교
거리 : 5.4km
소요시간 : 1시간 30분

* C코스 : 동대교 → 상현마을
거리 : 11.8km
소요시간 : 3시간 10분",,,,,,,,,,,,,
안데르센 동화마을,"부산 기장군 장안읍에 있는 도예 관광 힐링촌에 들어선 안데르센 동화마을은 어린이뿐 아니라 어른들도 아우르는 힐링 체험 공간이다. 수많은 동화를 집필해 전 세계 아동들에게 사랑받는 안데르센의 생애와 그의 작품 세계를 한눈에 알 수 있다. 18세기 바로크 양식으로 재현한 안데르센 정원, 아이들과 함께하는 다양한 놀이시설이 있다.",,https://www.gijang.go.kr/tour,부산광역시 기장군 장안읍 장안로 211,09:00~18:00 (입장 마감 16:00),매주 월요일,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
회동수원지,"회동수원지는 1930년대 말, 가뭄으로 인한 물 부족을 해소하기 위해 조성한 인공저수지다. 경상남도 양산시 원효산 남쪽 계곡에서 발원한 수영강이 철마천과 만나는 부산시 금정구 오륜동과 회동동에 걸쳐 있다. 1964년 상수원 보호구역으로 지정됐던 회동수원지 일대는 45년 만인 지난 2010년 일반에 개방됐다. 부산시 금정구청의 ‘인문학과 함께하는 땅뫼산 소풍여행’은 회동수원지를 따라 조성된 땅뫼산 황토숲길에서 진행된다. 생태의 보고로 불리는 땅뫼산 황토숲길은 상현마을에서 동천교를 잇는 부산갈맷길 8-1구간 중 풍광이 아름다운 곳이다. 1km 남짓 이어지는 길은 오르내림 없이 평탄해 누구나 편하게 걸을 수 있다.",,http://www.geumjeong.go.kr/tour,부산광역시 금정구 개좌로 147,상시 개방,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구덕야영장,"구덕야영장은 넓은 잔디광장과 야영지 6곳을 비롯한 옥외취사장, 세면장, 주차장 등 부속시설이 잘 갖추어져 있으며, 도심 안에 자리 잡고 있어 방문이 편리한 곳이다. 휴일이면 많은 가족 단위 시민들이 즐겨 찾는 곳이다. 구덕청소년수련관 안에 있어 기관이나 단체 등에서 각종 행사장으로도 많이 이용되고 있는 곳이며 지역 주민들을 위한 야영장, 잔디 구장 등 다채로운 장소 제공으로 지역 내 평생교육과 가족 화합의 장소로서 시민들의 휴식 공간으로 손색없는 명소로 자리 잡고 있다.",,http://www.gudeok.go.kr,부산광역시 서구 꽃마을로156번길 109 (서대신동3가),"- 입실 13:00
- 퇴실 11:00",연중무휴,가능,,,,,있음,,,조용하고 가까운거리에시내구경가능해요,"[야영지]
- 4인 이하 10,000원
- 5인~9인 이하 20,000원
[잔디광장]
- 체육경기 20,000원
- 전기료 5,000원
※ 자세한 사항은 홈페이지 참조",,,,,,,,,,,,,잔디광장 / 야외무대 / 족구장 등,,,,화장실 / 취사장,,,,,,,,,,,,,,,,,,,,,,,,,
부산 치유의 숲,"영남권 최초로 부산 기장군 철마면에 치유의 숲이 조성되었으며, 음이온과 피톤치드가 풍부한 자연환경에서 다양한 치유프로그램을 통해 정서 함양과 휴식을 취할 수 있는 곳이다. 부산 치유의 숲은 입구 방문자 센터에서 시작되는 중앙 산책로를 왕복하는 시간은 40분 정도 소요된다. 다양한 대상에 맞춤한 프로그램을 운영하며, 중앙 산책로를 따라 조성된 숲 속 도서관, 마음 나눔터, 숲 속 치유마당, 숲 속 명상터 소나무풍욕장, 태교숲터에서 이루어진다.",,https://www.busan.go.kr/green/hfprogram,부산광역시 기장군 철마면 철마천로 101,,,,무료,,,,,,,지인 소개로 찾아간 치유의 숲 마음의 안정이 되고 기분이 좋아지는곳 이네요 여러가지 테마 프로그램으로 본인에게 맞는 곳에서 피톤치드를 느끼면서 힐링을 느낄수 있어서 좋아요 40분정도의 산책으로 기분까지 맑아지는 치유의숲 꼭 한번 가보세요 강추합니다 산책과 힐링을 할수 있는 치유의숲 이름처럼 숲이 조성하고 있어서 기분이 좋고 피톤치드 하기에는 정말 좋은곳 같아요 마음이 편안해지고 힐링이 저절로 되네요 코스도 그리 길지 않아서 가족 단위로 나들이 하기 너무 좋은것 같아요 다시 가보고 싶은 곳이랍니다,,,,,,,,,3월~12월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,쉬어보입시the숲 / 같이하입시the 숲 / 행복끌림(林) / 알아차림(林)
금강공원,"일본 상인이 금정산자락의 일부를 자신의 개인 정원으로 꾸며 만든 이곳이 광복 후 공원으로 지정되면서 ‘금강공원’이라는 이름을 갖게 되었다. ‘금강’이라는 이름은 금정산의 수려함이 금강산에 버금간다 하여 ‘소금강’이라고 불렸는데, 여기서 따온 이름이다. 도심 속에 위치해 있어 사계절 인적이 끊이지 않는 공원으로, 누구나 즐길 수 있는 휴식처로 사랑을 받고 있다. 공원 내에는 다양한 문화시설이 있다. 동래지역이 가진 전통민속예술의 발굴과 계승, 보급을 위해 1974년 9월에 개관한 부산민속예술관, 우리나라 최초의 세계 해양자연사 전문 박물관인 부산해양자연사박물관이 자리하고 있다. 금강공원 케이블카도 빼놓을 수 없는 명물이다. 1966년 만들어진 케이블카는 오랜 시간이 지났지만 빨갛고 노란 옛날 느낌 그대로 운행하고 있다. 이외에도 체육시설, 지방문화재기념물 제13호인 임진동래의총, 7개의 기념비도 볼 수 있다.",,https://geumgangpark.bisco.or.kr/geumgangpark/,부산광역시 동래구 우장춘로 155 (온천동),"케이블카 이용시간
[3월~10월]
- 평일 09:30~17:30
- 주말 09:30~18:00
[11월]
- 평일 10:00~17:30
- 주말 09:30~17:30
[12월~2월]
- 평일 10:00~17:00
- 주말 09:30~17:30
※ 이용시간은 변동될 수 있으므로 홈페이지 참고",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
